noInterp, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 3.0, 26, regularization, -0.0346816196237, 0.00744723774506, 4.65697763532, 0.0179466031281, 0.012968197603, 1.38389340427
0, 3.0, 27, regularization, -0.0343455981183, 0.00767833091611, 4.47305521129, 0.0185346407625, 0.0128710620401, 1.44002419573
0, 3.0, 28, regularization, -0.0341607862903, 0.00809678800596, 4.21905405763, 0.0184277248289, 0.0136286556081, 1.35213078669
0, 3.0, 29, regularization, -0.0345514112903, 0.00754269294479, 4.58077924466, 0.0179771505376, 0.0131260054253, 1.36958274472
0, 3.0, 30, regularization, -0.0344170026882, 0.00771018063399, 4.46383869873, 0.018389540567, 0.0127945039863, 1.43729999902
0, 11.0, 1, no_regularization, 0.00878276209677, 0.469082475781, 0.0187232790612, 0.0239873533724, 0.633076969206, 0.0378901058469
0, 11.0, 2, no_regularization, -0.0308383736559, 0.50263754948, 0.0613531036187, -0.0217803030303, 0.764689227012, 0.0284825550837
0, 11.0, 3, no_regularization, -0.0645119287634, 0.469752364659, 0.137331780778, 0.0681512707722, 0.637052332591, 0.106979077363
0, 11.0, 4, no_regularization, -0.0411794354839, 0.469603337289, 0.0876898271668, 0.0103326612903, 0.670675890168, 0.0154063407404
0, 11.0, 5, no_regularization, 0.00654821908602, 0.497369649338, 0.0131656989821, 0.00475012218964, 0.825690071319, 0.00575291184263
0, 11.0, 1, regularization, -0.0665154569892, 0.451595828507, 0.147289794968, 0.0335716031281, 0.792572260673, 0.0423577821151
0, 11.0, 2, regularization, -0.0390877016129, 0.397246612316, 0.0983965637492, 0.0430183895406, 0.763137979791, 0.0563703952362
0, 11.0, 3, regularization, -0.0751932123656, 0.500068665791, 0.150365774761, 0.0250794232649, 0.555824105045, 0.0451211508052
0, 11.0, 4, regularization, -0.0232022849462, 0.388793646768, 0.0596776339818, -0.105892595308, 0.687926609265, 0.153930076089
0, 11.0, 5, regularization, 0.0429057459677, 0.358238177728, 0.119768770151, -0.0197794477028, 0.698544777811, 0.028315218052
0, 7.0, 26, no_regularization, -0.0497605846774, 0.231422938823, 0.215020105313, 0.0489598607038, 0.243683017136, 0.200916179056
0, 7.0, 27, no_regularization, -0.0463289650538, 0.306346398618, 0.151230650214, 0.029470613392, 0.371513055807, 0.0793259158227
0, 7.0, 28, no_regularization, -0.0420908938172, 0.569090509876, 0.073961686387, -0.113193426197, 0.745809825572, 0.151772505961
0, 7.0, 29, no_regularization, -0.048576108871, 0.323835153842, 0.150002580926, -0.0219406769306, 0.362827655017, 0.0604713467323
0, 7.0, 30, no_regularization, -0.0139742943548, 0.608902132863, 0.0229499842432, 0.0535572458456, 0.758028549283, 0.0706533360732
0, 7.0, 26, regularization, -0.0424899193548, 0.157306237713, 0.270109564456, 0.0444541177908, 0.256460069591, 0.173337384887
0, 7.0, 27, regularization, 0.0169942876344, 0.286580988187, 0.0593001222515, 0.0334417766373, 0.310648818674, 0.107651388407
0, 7.0, 28, regularization, -0.0372227822581, 0.518619750745, 0.0717727818977, -0.107412328935, 0.708330404114, 0.15164156206
0, 7.0, 29, regularization, -0.0153351814516, 0.287709239253, 0.053300969727, -0.0769947458456, 0.602557961978, 0.127779816555
0, 7.0, 30, regularization, -0.0154485887097, 0.536471806846, 0.0287966459981, 0.0569861925709, 0.714378010305, 0.0797703621176
0, 5.0, 6, no_regularization, -0.0557837701613, 0.00818799998805, 6.81286886208, 0.0333501344086, 0.0241806671491, 1.37920654559
0, 5.0, 7, no_regularization, -0.0550697244624, 0.00804739029941, 6.84317802585, 0.0340450879765, 0.0239469236037, 1.42168942199
0, 5.0, 8, no_regularization, -0.0558173723118, 0.0217721167414, 2.5637090309, 0.032815554741, 0.0284167534699, 1.15479605282
0, 5.0, 9, no_regularization, -0.056502016129, 0.00847250265282, 6.66886968873, 0.0345109359726, 0.0255417897717, 1.35115574442
0, 5.0, 10, no_regularization, -0.0565692204301, 0.0597143196292, 0.947330904571, 0.0350684261975, 0.0779471921033, 0.449899800765
0, 5.0, 6, regularization, -0.055766969086, 0.00816342823294, 6.83131736995, 0.0291498655914, 0.0141535332781, 2.05954690032
0, 5.0, 7, regularization, -0.0550865255376, 0.00794899942896, 6.92999490438, 0.0300739247312, 0.0146498142641, 2.05285365323
0, 5.0, 8, regularization, -0.0558173723118, 0.00823788503086, 6.77569207421, 0.0296462609971, 0.0149270648677, 1.98607437295
0, 5.0, 9, regularization, -0.0564474126344, 0.0084423354971, 6.68623186721, 0.0307841520039, 0.0155322141014, 1.98195516769
0, 5.0, 10, regularization, -0.0559265793011, 0.00825247300099, 6.77694786694, 0.0302037512219, 0.0155635914249, 1.94066718904
0, 1.0, 11, no_regularization, -0.0117439516129, 0.00430604165893, 2.72731955311, 0.00677388807429, 0.0149810313923, 0.452164333476
0, 1.0, 12, no_regularization, -0.0112777217742, 0.00518515226631, 2.17500300762, 0.00559017595308, 0.0146117008486, 0.382582151866
0, 1.0, 13, no_regularization, -0.0113029233871, 0.00513499709253, 2.20115477836, 0.00584982893451, 0.0162187496226, 0.360683102622
0, 1.0, 14, no_regularization, -0.0119077620968, 0.00383452868329, 3.10540436134, 0.00649896138807, 0.0160063758281, 0.406023290836
0, 1.0, 15, no_regularization, -0.0118195564516, 0.00403526897154, 2.92906285429, 0.00632331378299, 0.0156685709933, 0.403566718733
0, 1.0, 11, regularization, -0.0117439516129, 0.00455923937514, 2.57585764787, 0.00592619745846, 0.0123194300789, 0.481044774028
0, 1.0, 12, regularization, -0.0112777217742, 0.00518515226631, 2.17500300762, 0.00531524926686, 0.0117651182781, 0.451780351139
0, 1.0, 13, regularization, -0.0112987231183, 0.0052413421256, 2.15569273051, 0.0057123655914, 0.0121417217032, 0.47047410005
0, 1.0, 14, regularization, -0.0119329637097, 0.00376220429006, 3.17180110108, 0.00581928152493, 0.0122550419834, 0.474847946895
0, 1.0, 15, regularization, -0.0118237567204, 0.00417585258403, 2.83145932058, 0.00572000244379, 0.0125363529746, 0.456273244332
0, 5.0, 21, no_regularization, -0.0567288306452, 0.0252876615131, 2.24334031898, 0.0343505620723, 0.0308601926805, 1.11310264417
0, 5.0, 22, no_regularization, -0.0560315860215, 0.0084889450309, 6.60053585193, 0.0340909090909, 0.0407263031991, 0.83707349828
0, 5.0, 23, no_regularization, -0.0563550067204, 0.0584166777679, 0.964707492342, 0.0296768084066, 0.0741688406853, 0.400125013853
0, 5.0, 24, no_regularization, -0.0558299731183, 0.00822202531291, 6.79029448263, 0.0338770772239, 0.0216498112839, 1.56477471233
