radius3, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 3.0, 13, regularization, -0.0340046611512, 0.00144507090423, 23.5314828163, 0.0169715842691, 0.00322718122563, 5.25894986446
0, 3.0, 14, regularization, -0.0346578809681, 0.00159022225653, 21.7943629111, 0.017618706499, 0.00336031625291, 5.24316914628
0, 3.0, 15, regularization, -0.0344980604855, 0.00139516574114, 24.7268546439, 0.0177002655379, 0.00356112084832, 4.97041978966
0, 9.0, 21, no_regularization, -0.00522627478277, 0.528512480278, 0.00988864970609, -0.0851313834055, 0.930834987245, 0.0914570085697
0, 9.0, 22, no_regularization, -0.000445176424979, 0.431479953006, 0.00103174300886, 0.0300834335778, 0.52243161357, 0.0575834861375
0, 9.0, 23, no_regularization, 0.0128825383621, 0.339845303923, 0.0379070659897, -0.0512443933131, 0.378501854446, 0.135387429972
0, 9.0, 24, no_regularization, -0.0857036938935, 0.191425612066, 0.447712784974, 0.0494013340011, 0.194936398197, 0.253422831539
0, 9.0, 25, no_regularization, 0.00812323586317, 0.564136901283, 0.0143994052591, -0.0298480712424, 0.701437957103, 0.0425526890015
0, 9.0, 21, regularization, -0.0129736049376, 0.44566701901, 0.0291105340628, -0.099368238532, 0.89807322495, 0.110646031717
0, 9.0, 22, regularization, -0.00237004896379, 0.321348345844, 0.00737532647807, 0.0270575908558, 0.454770248049, 0.0594972757603
0, 9.0, 23, regularization, 0.00975520418144, 0.230652448289, 0.0422939546222, -0.0595713184407, 0.337722085683, 0.176391538979
0, 9.0, 24, regularization, -0.085806598084, 0.132053435993, 0.649786939952, 0.0465448347706, 0.17536633161, 0.26541488519
0, 9.0, 25, regularization, 0.010952806249, 0.516283340529, 0.0212147194944, -0.0350818656827, 0.694396245931, 0.0505213930639
0, 5.0, 21, no_regularization, -0.0566606322266, 0.0238091930875, 2.37977960942, 0.03430490126, 0.02693294879, 1.27371501455
0, 5.0, 22, no_regularization, -0.0561034098544, 0.00349183305677, 16.0670366946, 0.0340173158825, 0.0385812642723, 0.881705577152
0, 5.0, 23, no_regularization, -0.0563789066155, 0.0606958286493, 0.928876133174, 0.0295705616073, 0.0768844875793, 0.384610245036
0, 5.0, 24, no_regularization, -0.0557063403751, 0.00233035408073, 23.9046678939, 0.0335070917854, 0.0176303198828, 1.90053793738
0, 5.0, 25, no_regularization, -0.0570583755851, 0.00272260286652, 20.957289176, 0.0339110667636, 0.0192876691681, 1.758173394
0, 5.0, 21, regularization, -0.0566772033103, 0.00315588838517, 17.9591913252, 0.0304801029554, 0.00734128306759, 4.15187681428
0, 5.0, 22, regularization, -0.0560430058015, 0.00299850416763, 18.6903211296, 0.0297968367992, 0.00795981792099, 3.74340683355
0, 5.0, 23, regularization, -0.0561564825517, 0.00398290794048, 14.0993674448, 0.0297534078767, 0.00842358487375, 3.53215505306
